Brand,Name,Price,Rating,Product URL,Image URL,Category,Price Category,Ingredients,Gender,Similarity
elemis,men pro-collagen marine cream 30ml,52.99,4.685,https://www.sephora.co.uk/p/ELEMIS-Men-Pro-Collagen-Marine-Cream-30ml,//asset.sephora.co.uk/img/products/61957/elemis_men_pro_collagen_marine_cream_30ml_1605698316_listing.jpg,Moisturizers,No range,"Aqua/Water/Eau, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Isononyl Isononanoate, Dicaprylyl Carbonate, Dimethicone, Phenoxyethanol, Polyacrylate-13, Cetyl Alcohol, Stearic Acid, Tocopheryl Acetate (Vitamin E), Coco-Caprylate, Disodium EDTA, Xanthan Gum, Polyisobutene, Fragrance (Parfum), Tocopherol, Butyrospermum Parkii (Shea) Butter, Chlorphenesin, Daucus Carota Sativa (Carrot) Root Extract, Triticum Vulgare (Wheat) Germ Oil, Chlorella Vulgaris Extract, Glyceryl Polyacrylate, Glyceryl Acrylate/Acrylic Acid Copolymer, Padina Pavonica Thallus Extract, Sodium Dehydroacetate, Polysorbate 20, Sorbitan Isostearate, Butylene Glycol, Ginkgo Biloba Leaf Extract, Porphyridium Cruentum Extract, Limonene, Linalool, Sodium Benzoate, Potassium Sorbate, Alteromonas Ferment Extract, Acacia Decurrens Flower Extract, Citric Acid.
            ",Mens,0.2009420988399668
elemis,men daily eye boost 15ml,46.95,4.85,https://www.sephora.co.uk/p/ELEMIS-Men-Daily-Eye-Boost-15ml?q=eye+creams+men&q_typ=f,//asset.sephora.co.uk/img/products/162092/elemis_daily_eye_boost_15ml_1648140231_listing.jpg,Eye-Creams,No range,"Aqua/Water/Eau, PEG-8, Dicaprylyl Carbonate, Glycerin, Sodium Polyacrylate, Xylitylglucoside, Hexyldecanol, Hexyldecyl Laurate, Phenoxyethanol, Anhydroxylitol, Dipalmitoyl Hydroxyproline, Xylitol, Disodium EDTA, Palmitic Acid, Benzoic Acid, Glucose, Dehydroacetic Acid, Fragrance (Parfum), Ethylhexylglycerin, Tocopherol, Panax Ginseng Root Extract, Citric Acid, Sodium Hydroxide.
            ",Mens,0.17808486402692772
kiehl's,age defender moisturiser 50ml,49.5,4.55,https://www.sephora.co.uk/p/Kiehls-Age-Defender-Moisturiser-50ml,//asset.sephora.co.uk/img/products/65037/kiehl_039_s_age_defender_moisturiser_50ml_1602508298_listing.jpg,Moisturizers,No range,"Polymethyl Methacrylate, Glycine Soja, Citrus Aurantium Dulcis, Tocopherol, Vaccinium Myrtillus Fruit Extract, Fmla 685630 17, Sucrose Stearate, Poly C10-30 Alkyl Acrylate, Chlorphenesin, Synthetic Wax, Acer Saccharinum, Sodium Benzoate, Capryloyl Salicylic Acid, Sodium Polyacrylate, Citral, Caffeine, Saccharum Officinarum, Limonene, Linalool, Hydrolyzed Linseed Extract, Phenoxyethanol, Alcohol Denat, Octyldodecanol, Pentaerythrityl Tetraethylhexanoate, Citrus Limon, Acrylates, Theobroma Cacao, Dimethicone, Hydrogenated Polyisobutene, Adenosine, Orbignya Oleifera Oil, Ascorbyl Glucoside, Aqua, Parfum, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Stearic Acid, Xanthan Gum, F, Palmitic Acid, Polyurethane-2, Dimethiconol, Sodium Hydroxide, Glycerin
            ",Mens,0.12846746641640008
bulldog skincare for men,oil control face wash 150ml,5.0,4.725,https://www.sephora.co.uk/p/Bulldog-Oil-Control-Face-Wash-150ml,//asset.sephora.co.uk/img/products/72448/Bulldog_Oil_Control_Face_Wash_150ml_1519208165_listing.jpg,Cleansers,No range,"Aqua (Water), Cocamidopropyl betaine, Glycerin, Coco-glucoside, Acrylates/C10-30 alkyl acrylate crosspolymer, Phenoxyethanol, Sodium chloride, Sodium lauroyl sarcosinate, Benzoic acid, Parfum (Fragrance)*, Hamamelis virginiana (Witch hazel) water, Dehydroacetic acid, Alcohol, Salix alba (Willow) bark extract, Juniperus communis fruit extract, Potassium sorbate, Sodium benzoate, Sodium hydroxide. *a blend of natural ingredients.
            ",Mens,0.09955959923093631
dior,sauvage the serum - face serum powered by cactus for men 50ml,70.0,55.0,https://www.sephora.co.uk/p/dior-sauvage-the-serum-50ml?q=serums+men&q_typ=f,//asset.sephora.co.uk/img/products/179150/dior_sauvage_the_serum_face_serum_powered_by_cactus_for_men_50_ml-1730881110_listing.jpg,Serums,No range,"#19047 AQUA (WATER) • ALCOHOL • GLYCERIN • BUTYLENE GLYCOL • SQUALANE • BETAINE • LIMNANTHES ALBA (MEADOWFOAM) SEED OIL • POLYGLYCERIN-3 • PENTYLENE GLYCOL • HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER • HYDROGENATED LECITHIN • LAUROYL LYSINE • MALVA SYLVESTRIS (MALLOW) EXTRACT • POLYGLYCERIN-6 • CAPRYLYL GLYCOL • PULLULAN • CHLORPHENESIN • TOCOPHERYL ACETATE • PARFUM (FRAGRANCE) • OPUNTIA FICUS-INDICA FRUIT EXTRACT • SODIUM ACETYLATED HYALURONATE • POLYSORBATE 60 • SORBITAN ISOSTEARATE • ALCALIGENES POLYSACCHARIDES • OPUNTIA COCCINELLIFERA FLOWER EXTRACT • HYDROLYZED SOY FLOUR • ADENOSINE • SODIUM HYALURONATE • PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE • SODIUM BENZOATE • TRISODIUM ETHYLENEDIAMINE DISUCCINATE • 1,2-HEXANEDIOL • SODIUM TOCOPHERYL PHOSPHATE • POTASSIUM SORBATE • CITRIC ACID • TRIETHYL CITRATE • CITRUS JUNOS FRUIT EXTRACT
            ",Mens,0.06733665716992329
clinique,for men anti-age eye cream 15ml,33.0,4.335,https://www.sephora.co.uk/p/Clinique-for-Men-Anti-Age-Eye-Cream-15ml?q=eye+creams+men&q_typ=f,//asset.sephora.co.uk/img/products/52621/Clinique_for_Men_Anti_Age_Eye_Cream_15ml_1410608905_listing.jpg,Eye-Creams,No range,"Water\Aqua\Eau, Butyrospermum Parkii (Shea Butter), Cetearyl Alcohol, Butylene Glycol, Hydrogenated Polyisobutene, Phenyl Trimethicone, Polyglyceryl-3 Beeswax, Polybutene, Sucrose, Cetyl Esters, Isostearyl Neopentanoate, Polymethyl Methacrylate, Glycerin, Cetearyl Glucoside, Triticum Vulgare (Wheat) Germ Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Betula Alba (Birch) Extract, Methyl Glucose Sesquistearate, Gentiana Lutea (Gentian) Root Extract, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Camellia Sinensis (Green Tea) Leaf Extract, Salvia Officinalis (Sage) Leaf, Coleus Barbatus Extract, Polysilicone-11, Whey Protein\Lactis Protein\Prot?ine Du Petit-Lait, Caffeine, Glyceryl Polymethacrylate, Peg-100 Stearate, Squalane, Peg-8, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phytosphingosine, Dimethicone, Cholesterol, Linoleic Acid, Sodium Hyaluronate, Yeast Extract\Faex\Extrait De Levure, Dipropylene Glycol, Magnesium Ascorbyl Phosphate, 1,2-Hexanediol, Palmitoyl Oligopeptide, Isomerized Linoleic Acid, Decarboxy Carnosine Hcl, Caprylyl Glycol, Aminomethyl Propanol, Tocopheryl Acetate, Potassium Sulfate, Stearic Acid, Disodium Edta, Phenoxyethanol, Sodium Dehydroacetate, Mica, Yellow 5 (Ci 19140), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891) <ILN40063>.
            ",Mens,0.0670195123405398
clinique,for men maximum hydrator activated water-gel concentrate 48ml,42.0,4.675,https://www.sephora.co.uk/p/Clinique-For-Men-Maximum-Hydrator-Activated-Water-Gel-Concentrate-48ml,//asset.sephora.co.uk/img/products/76516/Clinique_For_Men_Maximum_Hydrator_Activated_Water_Gel_Concentrate_48ml_1492512162_listing.jpg,Moisturizers,No range,"Water\Aqua\Eau, Glycerin, Butylene Glycol, Phenyl Trimethicone, Propanediol, Sucrose, Hydroxyethyl Urea, Alteromonas Ferment Extract, Aloe Barbadensis Leaf Water, Algae Extract, Cholesterol, Hydrolyzed Rice Extract, Trehalose, Acetyl Glucosamine, Pentaerythrityl Tetraethylhexanoate, Sorbitol, Sodium Hyaluronate, Sodium Polyaspartate, Caffeine, Tocopheryl Acetate, Sodium Hydroxide, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Dextrin Palmitate, Dehydroxanthan Gum, Citric Acid, Benzophenone-4, Tetrahexyldecyl Ascorbate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Citrate, Disodium Edta, Bht, Chlorphenesin, Phenoxyethanol, Green 6 (Ci 61565) <ILN43187>.
            ",Mens,0.06294210355352489
clinique,for men charcoal face wash 200ml,24.0,4.665,https://www.sephora.co.uk/p/Clinique-for-Men-Charcoal-Face-Wash-200ml,//asset.sephora.co.uk/img/products/59136/Clinique_for_Men_Charcoal_Face_Wash_200ml_1437729690_listing.jpg,Cleansers,No range,"Water\Aqua\Eau, Cocamidopropyl Hydroxysultaine, Coco-Betaine, Sodium Lauroyl Oat Amino Acids, Decyl Glucoside, Sodium Cocoyl Sarcosinate, Acrylates Copolymer, Sodium Chloride, Disodium Cocoyl Glutamate, Glycerin, Caffeine, Sodium Cocoyl Glutamate, Monosodium Citrate, Butylene Glycol, Citric Acid, Charcoal Powder, Sodium Hydroxide, Disodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Iron Oxides (Ci 77499) <ILN41516>.
            ",Mens,0.061130239899652355
dior,sauvage the cleanser 125ml,43.0,4.915,https://www.sephora.co.uk/p/dior-sauvage-the-cleanser-125ml?q=toners+men&q_typ=f,//asset.sephora.co.uk/img/products/179149/dior_sauvage_the_cleanser_125ml-1708071483_listing.jpg,Toners,No range,"#19066 AQUA (WATER), LAURYL GLUCOSIDE, COCAMIDOPROPYL BETAINE, DISODIUM COCOYL GLUTAMATE, ACRYLATES COPOLYMER, GLYCERIN, PENTYLENE GLYCOL, 1,2-HEXANEDIOL, SODIUM COCOYL GLUTAMATE, POLYGLYCERYL-10 STEARATE, MENTHOXYPROPANEDIOL, PARFUM (FRAGRANCE), SODIUM BENZOATE, POLYGLYCERYL-10 OLEATE, HYDROXYACETOPHENONE, SODIUM HYDROXIDE, CHARCOAL POWDER, CI 77499 (IRON OXIDES), CITRIC ACID, OPUNTIA COCCINELLIFERA FLOWER EXTRACT, SILICA, CAPRYLYL GLYCOL, TRIETHYL CITRATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
            ",Mens,0.053042091751823346
clinique,for men moisturizing lotion 100ml,32.0,4.485,https://www.sephora.co.uk/p/Clinique-for-Men-Moisturizing-Lotion-100ml,//asset.sephora.co.uk/img/products/52617/Clinique_for_Men_Moisturizing_Lotion_100ml_1410609161_listing.jpg,Moisturizers,No range,"Water\Aqua\Eau, Mineral Oil\Paraffinum Liquidum\Huile Min?rale, Glycerin, Petrolatum, Stearic Acid, Glyceryl Stearate, Sesamum Indicum (Sesame) Oil, Urea, Lanolin Alcohol, Triethanolamine, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Propylene Glycol Dicaprate, Helianthus Annuus (Sunflower) Seedcake, Butylene Glycol, Sodium Hyaluronate, Pentylene Glycol, Trisodium Edta, Phenoxyethanol, Red 33 (Ci 17200), Yellow 5 (Ci 19140), Yellow 6 (Ci 15985) <ILN40055>.
            ",Mens,0.05114650880373309
elemis,men daily moisture boost 50ml,38.0,4.835,https://www.sephora.co.uk/p/Elemis-Men-Daily-Moisture-Boost-50ml,//asset.sephora.co.uk/img/products/7407/elemis_men_daily_moisture_boost_50ml_1605697052_listing.jpg,Moisturizers,No range,"Aqua/Water/Eau, Dicaprylyl Ether, Glycerin, Squalane, Butyrospermum Parkii (Shea) Butter, Hydroxypropyl Starch Phosphate, Lauryl Glucoside, Polyglyceryl-2 Dipolyhydroxystearate, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isononyl Isononanoate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Calophyllum Inophyllum (Tamanu) Seed Oil, Propylene Glycol, Chlorphenesin, Disodium EDTA, Sclerotium Gum, Polysorbate 60, Tocopherol, Sodium Dehydroacetate, Citric Acid, Fragrance (Parfum), Sorbitan Isostearate, Cereus Grandiflorus (Cactus) Flower Extract, Propylene Glycol Dicaprylate/Dicaprate, Castanea Sativa (Chestnut) Seed Extract, Bambusa Vulgaris Sap Extract, Potassium Sorbate, Limonene, Linalool, Sorbic Acid, Litsea Cubeba Fruit Oil, Pelargonium Graveolens Flower Oil, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Coriandrum Sativum (Coriander) Fruit Oil, Lavandula Hybrida (Hybrida) Oil, Sodium Hydroxide.
            ",Mens,0.05086610725314324
clarins,men super moisture gel 50ml,33.0,4.665,https://www.sephora.co.uk/p/ClarinsMen-Super-Moisture-Gel-50ml,//asset.sephora.co.uk/img/products/100802/ClarinsMen_Super_Moisture_Gel_50ml_1545296576_listing.jpg,Moisturizers,No range,"Aqua/Water/Eau, Cyclomethicone, Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Phenyl Trimethicone, Tapioca Starch, Trehalose, Cyclopentasiloxane, Phenoxyethanol, Parfum/Fragrance, Tocopheryl Acetate, Ethylhexylglycerin, Hierochloe Odorata Extract, Hydrolyzed Calcium Hyaluronate, Peg/Ppg-18/18 Dimethicone, Glyceryl Acrylate/Acrylic Acid Copolymer, Tetrasodium Edta, Helianthus Annuus (Sunflower) Extract, Pentylene Glycol, Steareth-20, Thermus Thermophillus Ferment, Portulaca Oleracea Extract, Lapsana Communis Flower/Leaf/Stem Extract, Eryngium Alpinum Flower Extract, Potassium Sorbate, Camellia Sinensis Leaf Extract, Rhodiola Rosea Root Extract, Sodium Lauryl Sulfate, Alpinia Officinarum Root Extract, Limonene, Linalool, Hexyl Cinnamal, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Benzyl Benzoate, Citral, Ci 42090/Blue 1, Ci 60730/Ext, Violet 2, 
",Mens,0.04004207820693104
